"Model:WTU125-L30V"
"operator:172"
"0# CH"
"ID:0"
"12-20 17:53:11  rd sn
12-21 09:46:17  ST,108,x,127407,127309,+00.3192,y,128736,128615,-00.0278,+00.0013

12-21 09:46:19  rd m all
12-21 09:46:19  ST,108,x,127406,127308,+00.3189,y,128735,128614,-00.0281,+00.0013

12-21 09:46:20  rd m all
12-21 09:46:20  ST,108,x,127406,127308,+00.3189,y,128736,128615,-00.0278,+00.0013

12-21 10:16:29  rd m all
12-21 10:16:29  ST,113,x,127390,127300,+00.3166,y,128743,128635,-00.0221,+00.0013

12-21 10:16:31  rd m all
12-21 10:16:31  ST,113,x,127390,127300,+00.3166,y,128743,128635,-00.0221,+00.0013

12-21 10:16:32  rd m all
12-21 10:16:32  ST,113,x,127390,127300,+00.3166,y,128743,128635,-00.0221,+00.0013

12-21 10:16:34  rd m all
12-21 10:16:34  ST,113,x,127390,127300,+00.3166,y,128743,128635,-00.0221,+00.0013

12-21 10:16:35  rd m all
12-21 10:16:35  ST,113,x,127390,127300,+00.3166,y,128743,128635,-00.0221,+00.0013

12-21 10:46:44  rd m all
12-21 10:46:44  ST,117,x,127379,127296,+00.3155,y,128744,128647,-00.0186,+00.0013

12-21 10:46:46  rd m all
12-21 10:46:46  ST,117,x,127378,127295,+00.3152,y,128744,128647,-00.0186,+00.0013

12-21 10:46:47  rd m all
12-21 10:46:47  ST,117,x,127378,127295,+00.3152,y,128744,128647,-00.0186,+00.0013

12-21 10:46:49  rd m all
12-21 10:46:49  ST,117,x,127378,127295,+00.3152,y,128744,128647,-00.0186,+00.0013

12-21 10:46:50  rd m all
12-21 10:46:50  ST,117,x,127378,127295,+00.3152,y,128744,128647,-00.0186,+00.0013

12-21 11:16:59  rd m all
12-21 11:16:59  ST,121,x,127363,127287,+00.3129,y,128744,128657,-00.0158,+00.0013

12-21 11:17:01  rd m all
