"Model:WTU125-L30V-002"
"operator:172"
"0# CH"
"ID:0"
"12-21 15:59:56  rd sn
12-22 07:53:05  ST,111,x,128656,128599,+00.3741,y,127540,127278,-00.0258,+00.0013

12-22 08:23:14  rd m all
12-22 08:23:14  ST,116,x,128641,128591,+00.3718,y,127534,127295,-00.0209,+00.0013

12-22 08:23:15  rd m all
12-22 08:23:15  ST,116,x,128641,128591,+00.3718,y,127534,127295,-00.0209,+00.0013

12-22 08:23:17  rd m all
12-22 08:23:17  ST,116,x,128641,128591,+00.3718,y,127534,127295,-00.0209,+00.0013

12-22 08:23:18  rd m all
12-22 08:23:18  ST,116,x,128641,128591,+00.3718,y,127534,127295,-00.0209,+00.0013

12-22 08:23:20  rd m all
12-22 08:23:20  ST,115,x,128641,128589,+00.3712,y,127534,127291,-00.0221,+00.0013

12-22 08:53:29  rd m all
12-22 08:53:29  ST,119,x,128634,128587,+00.3706,y,127523,127298,-00.0201,+00.0013

12-22 08:53:30  rd m all
12-22 08:53:31  ST,119,x,128634,128587,+00.3706,y,127523,127298,-00.0201,+00.0013

12-22 08:53:32  rd m all
12-22 08:53:32  ST,119,x,128634,128587,+00.3706,y,127523,127298,-00.0201,+00.0013

12-22 08:53:33  rd m all
12-22 08:53:34  ST,119,x,128634,128587,+00.3706,y,127523,127298,-00.0201,+00.0013

12-22 08:53:35  rd m all
12-22 08:53:35  ST,119,x,128634,128587,+00.3706,y,127523,127298,-00.0201,+00.0013

12-22 09:23:44  rd m all
12-22 09:23:44  ST,124,x,128616,128576,+00.3675,y,127508,127306,-00.0178,+00.0013

12-22 09:23:45  rd m all
12-22 09:23:46  ST,124,x,128616,128576,+00.3675,y,127508,127306,-00.0178,+00.0013

12-22 09:23:47  rd m all
12-22 09:23:47  ST,124,x,128616,128576,+00.3675,y,127508,127306,-00.0178,+00.0013

12-22 09:23:48  rd m all
12-22 09:23:49  ST,124,x,128616,128576,+00.3675,y,127508,127306,-00.0178,+00.0013

12-22 09:23:50  rd m all
12-22 09:23:50  ST,124,x,128616,128576,+00.3675,y,127508,127306,-00.0178,+00.0013

12-22 09:53:59  rd m all
12-22 09:53:59  ST,129,x,128602,128568,+00.3652,y,127494,127314,-00.0155,+00.0013

12-22 09:54:00  rd m all
12-22 09:54:01  ST,129,x,128602,128568,+00.3652,y,127494,127314,-00.0155,+00.0013

12-22 09:54:02  rd m all
12-22 09:54:02  ST,129,x,128602,128568,+00.3652,y,127494,127314,-00.0155,+00.0013

12-22 09:54:03  rd m all
12-22 09:54:04  ST,129,x,128602,128568,+00.3652,y,127494,127314,-00.0155,+00.0013

12-22 09:54:05  rd m all
12-22 09:54:05  ST,129,x,128602,128568,+00.3652,y,127494,127314,-00.0155,+00.0013

12-22 10:24:14  rd m all
12-22 10:24:14  ST,139,x,128562,128542,+00.3578,y,127403,127269,-00.0284,+00.0013

12-22 10:24:15  rd m all
12-22 10:24:16  ST,139,x,128566,128546,+00.3589,y,127448,127314,-00.0155,+00.0013

12-22 10:24:17  rd m all
12-22 10:24:17  ST,139,x,128566,128546,+00.3589,y,127448,127314,-00.0155,+00.0013

12-22 10:24:18  rd m all
12-22 10:24:19  ST,139,x,128573,128553,+00.3609,y,127467,127333,-00.0100,+00.0013

12-22 10:24:20  rd m all
12-22 10:24:20  ST,139,x,128572,128552,+00.3606,y,127461,127327,-00.0117,+00.0013

12-22 10:54:29  rd m all
12-22 10:54:29  ST,145,x,128545,128532,+00.3549,y,127419,127313,-00.0158,+00.0013

12-22 10:54:31  rd m all
12-22 10:54:31  ST,145,x,128545,128532,+00.3549,y,127419,127313,-00.0158,+00.0013

12-22 10:54:32  rd m all
12-22 10:54:32  ST,145,x,128554,128541,+00.3575,y,127431,127325,-00.0123,+00.0013

12-22 10:54:34  rd m all
12-22 10:54:34  ST,145,x,128554,128541,+00.3575,y,127431,127325,-00.0123,+00.0013

12-22 10:54:35  rd m all
12-22 10:54:35  ST,145,x,128553,128540,+00.3572,y,127434,127328,-00.0115,+00.0013

12-22 11:24:44  rd m all
12-22 11:24:44  ST,151,x,128541,128536,+00.3561,y,127416,127337,-00.0089,+00.0013

12-22 11:24:46  rd m all
12-22 11:24:46  ST,151,x,128541,128536,+00.3561,y,127416,127337,-00.0089,+00.0013

12-22 11:24:47  rd m all
12-22 11:24:47  ST,151,x,128541,128536,+00.3561,y,127416,127337,-00.0089,+00.0013

12-22 11:24:49  rd m all
12-22 11:24:49  ST,151,x,128541,128536,+00.3561,y,127416,127337,-00.0089,+00.0013

12-22 11:24:50  rd m all
12-22 11:24:50  ST,151,x,128542,128537,+00.3564,y,127416,127337,-00.0089,+00.0013

12-22 11:54:59  rd m all
12-22 11:54:59  ST,157,x,128561,128558,+00.3624,y,127435,127378,+00.0028,+00.0013

12-22 11:55:01  rd m all
12-22 11:55:01  ST,157,x,128527,128524,+00.3526,y,127408,127351,-00.0048,+00.0013

12-22 11:55:02  rd m all
12-22 11:55:02  ST,157,x,128527,128524,+00.3526,y,127408,127351,-00.0048,+00.0013

12-22 11:55:04  rd m all
12-22 11:55:04  ST,157,x,128528,128525,+00.3529,y,127402,127345,-00.0066,+00.0013

12-22 11:55:05  rd m all
12-22 11:55:05  ST,157,x,128528,128525,+00.3529,y,127394,127337,-00.0089,+00.0013

12-22 12:25:14  rd m all
12-22 12:25:15  ST,162,x,128525,128523,+00.3524,y,127380,127340,-00.0080,+00.0013

12-22 12:25:16  rd m all
12-22 12:25:16  ST,162,x,128512,128510,+00.3486,y,127380,127340,-00.0080,+00.0013

12-22 12:25:17  rd m all
12-22 12:25:18  ST,162,x,128512,128510,+00.3486,y,127380,127340,-00.0080,+00.0013

12-22 12:25:19  rd m all
12-22 12:25:19  ST,162,x,128516,128514,+00.3498,y,127380,127340,-00.0080,+00.0013

12-22 12:25:20  rd m all
12-22 12:25:21  ST,162,x,128519,128517,+00.3506,y,127380,127340,-00.0080,+00.0013

12-22 12:55:29  rd m all
12-22 12:55:30  ST,168,x,128553,128552,+00.3606,y,127433,127413,+00.0129,+00.0013

12-22 12:55:31  rd m all
12-22 12:55:31  ST,168,x,128500,128499,+00.3455,y,127350,127330,-00.0109,+00.0013

12-22 12:55:32  rd m all
12-22 12:55:33  ST,168,x,128508,128507,+00.3478,y,127374,127354,-00.0040,+00.0013

12-22 12:55:34  rd m all
12-22 12:55:34  ST,168,x,128508,128507,+00.3478,y,127374,127354,-00.0040,+00.0013

12-22 12:55:35  rd m all
12-22 12:55:36  ST,168,x,128506,128505,+00.3472,y,127365,127345,-00.0066,+00.0013

12-22 13:25:44  rd m all
12-22 13:25:45  ST,173,x,128493,128493,+00.3438,y,127357,127354,-00.0040,+00.0013

12-22 13:25:46  rd m all
